x -> -0.9999972450545584403516182061830499337426840571630059158201`30.
x -> -0.9999854843850284447675913597652812664460300651941252311941`30.
x -> -0.9999643261538894550943330249514155294750328636908420482019`30.
x -> -0.9999337658606177711221103238449516068416573362729758993431`30.
x -> -0.999893803216941987873147403472401858771742733426341939677`30.
x -> -0.9998444384611711916084366922555314286462278359822408271836`30.
x -> -0.9997856720116889628341743951606249457980788336012142362696`30.
x -> -0.9997175044023747284307006542001326044047739256198725466114`30.
x -> -0.9996399362654382464576482001233732062449997792817340261991`30.
x -> -0.9995529683257070064969677401547083937725308120893099607414`30.
x -> -0.9994566013984000492749057204556327635590777026643199986707`30.
x -> -0.9993508363881507486653970510168170488694365437621412384134`30.
x -> -0.9992356742885348165163857632153935316031341905476031074981`30.
x -> -0.9991111161818228462260355277927309983971439458311847684766`30.
x -> -0.9989771632388403756649802827993968975639301145497801275748`30.
x -> -0.998833816718882596438944273486485825013172464289037150299`30.
x -> -0.9986810779696581776171578884419558096336784152309818550716`30.
x -> -0.9985189484272491654281575421352535795363465305159068767833`30.
x -> -0.9983474296160799746514418350004659104166427800124591718388`30.
x -> -0.9981665231488915727109186176628214534461899595425717164658`30.
x -> -0.9979762307267185998745420348685153592515724747976940480171`30.
x -> -0.997776554138868077326501824801501895095033088457105463394`30.
x -> -0.9975674952628988745188845037423556318930841696381611026488`30.
x -> -0.9973490560646014135491635421891518641871134810615996144195`30.
x -> -0.9971212385979772738362092986989327621258016197820717532106`30.
x -> -0.9968840450052184754903082147323668039914048031476287538335`30.
x -> -0.9966374775166862927999356048507998985710508957673047391625`30.
x -> -0.996381538450889496521512408736812690896608662813857111914`30.
x -> -0.9961162302144619548145648989299045309211016456100066126673`30.
x -> -0.9958415553021395435525954802126314694142990664430130961751`30.
x -> -0.9955575162967363309635587756786054628251515662942776248353`30.
x -> -0.9952641158691200113800911586128479802803096999929363052301`30.
x -> -0.9949613567781865697596566340885651191162092910230436487476`30.
x -> -0.9946492418708341635125525110603940625588449167599745182144`30.
x -> -0.9943277740819362116746913613584188864786968085883051193358`30.
x -> -0.9939969564343136839997661964581333469639614748333903394325`30.
